invoice_id,account_id,issue_date,due_date,amount,amount_paid,status,paid_date,days_late,disputed,po_number,description
INV-1001-001,ACC-1001,2025-02-02,2025-03-04,17684.52,17684.52,paid,2025-03-16,12.0,False,PO-90480,Managed services retainer
INV-1001-002,ACC-1001,2025-03-03,2025-04-02,12865.02,12865.02,paid,2025-04-15,13.0,False,PO-81390,Monthly platform subscription
INV-1001-003,ACC-1001,2025-04-01,2025-05-01,16452.1,16452.1,paid,2025-05-13,12.0,False,PO-52287,Usage overage
INV-1001-004,ACC-1001,2025-05-05,2025-06-04,15478.51,15478.51,paid,2025-06-15,11.0,False,PO-97606,Monthly platform subscription
INV-1001-005,ACC-1001,2025-05-29,2025-06-28,16510.35,16510.35,paid,2025-07-11,13.0,False,PO-62291,Monthly platform subscription
INV-1001-006,ACC-1001,2025-06-29,2025-07-29,13523.76,13523.76,paid,2025-08-15,17.0,False,PO-53090,Managed services retainer
INV-1001-007,ACC-1001,2025-07-28,2025-08-27,16562.87,16562.87,paid,2025-09-09,13.0,False,PO-66506,Implementation services
INV-1001-008,ACC-1001,2025-09-02,2025-10-02,14972.95,14972.95,paid,2025-10-14,12.0,False,PO-61798,Managed services retainer
INV-1001-009,ACC-1001,2025-09-26,2025-10-26,19074.42,19074.42,paid,2025-11-09,14.0,False,PO-65463,Managed services retainer
INV-1001-010,ACC-1001,2025-10-29,2025-11-28,14262.34,14262.34,paid,2025-12-12,14.0,False,PO-58348,Monthly platform subscription
INV-1001-011,ACC-1001,2025-11-29,2025-12-29,12843.23,12843.23,paid,2026-01-13,15.0,False,PO-86170,Monthly platform subscription
INV-1001-012,ACC-1001,2025-12-26,2026-01-25,15058.01,15058.01,paid,2026-02-10,16.0,False,PO-41999,Monthly platform subscription
INV-1001-013,ACC-1001,2026-01-29,2026-02-28,18139.97,18139.97,paid,2026-03-20,20.0,False,PO-80090,Usage overage
INV-1001-014,ACC-1001,2026-02-25,2026-03-27,15086.25,15086.25,paid,2026-04-13,17.0,False,PO-42431,Implementation services
