payment_id,account_id,invoice_id,payment_date,amount,method
PAY-1001-001,ACC-1001,INV-1001-001,2025-03-16,17684.52,ACH
PAY-1001-002,ACC-1001,INV-1001-002,2025-04-15,12865.02,ACH
PAY-1001-003,ACC-1001,INV-1001-003,2025-05-13,16452.1,ACH
PAY-1001-004,ACC-1001,INV-1001-004,2025-06-15,15478.51,ACH
PAY-1001-005,ACC-1001,INV-1001-005,2025-07-11,16510.35,check
PAY-1001-006,ACC-1001,INV-1001-006,2025-08-15,13523.76,ACH
PAY-1001-007,ACC-1001,INV-1001-007,2025-09-09,16562.87,wire
PAY-1001-008,ACC-1001,INV-1001-008,2025-10-14,14972.95,check
PAY-1001-009,ACC-1001,INV-1001-009,2025-11-09,19074.42,ACH
PAY-1001-010,ACC-1001,INV-1001-010,2025-12-12,14262.34,check
PAY-1001-011,ACC-1001,INV-1001-011,2026-01-13,12843.23,wire
PAY-1001-012,ACC-1001,INV-1001-012,2026-02-10,15058.01,ACH
PAY-1001-013,ACC-1001,INV-1001-013,2026-03-20,18139.97,ACH
PAY-1001-014,ACC-1001,INV-1001-014,2026-04-13,15086.25,check
PAY-1001-015,ACC-1001,INV-1001-015,2026-05-10,15103.08,ACH
PAY-1001-016,ACC-1001,INV-1001-016,2026-06-12,14132.68,wire
PAY-1001-017,ACC-1001,INV-1001-017,2026-07-12,18179.91,wire
PAY-1001-018,ACC-1001,INV-1001-018,2026-08-06,18651.56,wire
PAY-1002-001,ACC-1002,INV-1002-001,2025-06-22,5693.07,ACH
PAY-1002-002,ACC-1002,INV-1002-002,2025-07-24,5219.79,wire
PAY-1002-003,ACC-1002,INV-1002-003,2025-08-17,6513.31,wire
PAY-1002-004,ACC-1002,INV-1002-004,2025-09-20,6460.93,check
PAY-1002-005,ACC-1002,INV-1002-005,2025-10-18,5499.58,ACH
PAY-1002-006,ACC-1002,INV-1002-006,2025-11-17,5457.3,wire
PAY-1002-007,ACC-1002,INV-1002-007,2025-12-18,4866.01,ACH
PAY-1002-008,ACC-1002,INV-1002-008,2026-01-22,4786.97,ACH
PAY-1002-009,ACC-1002,INV-1002-009,2026-02-18,6080.18,ACH
PAY-1002-010,ACC-1002,INV-1002-010,2026-03-23,6528.81,wire
PAY-1002-011,ACC-1002,INV-1002-011,2026-04-18,4569.5,ACH
PAY-1002-012,ACC-1002,INV-1002-012,2026-05-16,6350.07,ACH
PAY-1002-013,ACC-1002,INV-1002-013,2026-06-15,5965.82,ACH
PAY-1002-014,ACC-1002,INV-1002-014,2026-07-20,4788.34,wire
PAY-1002-015,ACC-1002,INV-1002-015,2026-08-14,5328.24,check
PAY-1003-001,ACC-1003,INV-1003-001,2025-01-06,4665.17,ACH
PAY-1003-002,ACC-1003,INV-1003-002,2025-02-06,4418.83,wire
PAY-1003-003,ACC-1003,INV-1003-003,2025-03-06,4594.31,ACH
PAY-1003-004,ACC-1003,INV-1003-004,2025-04-04,4252.01,ACH
PAY-1003-005,ACC-1003,INV-1003-005,2025-05-08,3952.2,ACH
PAY-1003-006,ACC-1003,INV-1003-006,2025-06-07,4232.22,ACH
PAY-1003-007,ACC-1003,INV-1003-007,2025-07-03,4335.53,wire
PAY-1003-008,ACC-1003,INV-1003-008,2025-08-07,4147.66,wire
PAY-1003-009,ACC-1003,INV-1003-009,2025-09-08,3807.59,check
PAY-1003-010,ACC-1003,INV-1003-010,2025-10-02,4051.06,wire
PAY-1003-011,ACC-1003,INV-1003-011,2025-11-04,4601.86,ACH
PAY-1003-012,ACC-1003,INV-1003-012,2025-12-04,4436.75,wire
PAY-1003-013,ACC-1003,INV-1003-013,2026-01-07,4816.65,ACH
PAY-1003-014,ACC-1003,INV-1003-014,2026-02-03,3769.58,check
PAY-1003-015,ACC-1003,INV-1003-015,2026-03-03,3695.07,wire
PAY-1003-016,ACC-1003,INV-1003-016,2026-04-05,4773.77,wire
PAY-1003-017,ACC-1003,INV-1003-017,2026-05-04,4541.09,check
PAY-1003-018,ACC-1003,INV-1003-018,2026-06-01,3973.07,ACH
PAY-1003-019,ACC-1003,INV-1003-019,2026-07-04,3317.74,ACH
PAY-1003-020,ACC-1003,INV-1003-020,2026-07-29,4356.19,check
PAY-2001-001,ACC-2001,INV-2001-001,2025-05-22,21454.15,check
PAY-2001-002,ACC-2001,INV-2001-002,2025-06-21,20757.98,check
PAY-2001-003,ACC-2001,INV-2001-003,2025-07-26,18588.1,check
PAY-2001-004,ACC-2001,INV-2001-004,2025-08-22,20206.14,ACH
PAY-2001-005,ACC-2001,INV-2001-005,2025-09-30,17967.27,wire
PAY-2001-006,ACC-2001,INV-2001-006,2025-10-27,17787.12,check
PAY-2001-007,ACC-2001,INV-2001-007,2025-12-12,20082.69,wire
PAY-2001-008,ACC-2001,INV-2001-008,2026-01-10,21566.17,ACH
PAY-2001-009,ACC-2001,INV-2001-009,2026-02-08,21654.98,check
PAY-2001-010,ACC-2001,INV-2001-010,2026-03-03,23132.86,wire
PAY-2001-011,ACC-2001,INV-2001-011,2026-04-13,17424.24,wire
PAY-2001-012,ACC-2001,INV-2001-012,2026-05-16,21156.66,wire
PAY-2001-013,ACC-2001,INV-2001-013,2026-06-16,22814.74,ACH
PAY-2001-014,ACC-2001,INV-2001-014,2026-07-20,18735.72,wire
PAY-2002-001,ACC-2002,INV-2002-001,2025-09-01,13327.37,ACH
PAY-2002-002,ACC-2002,INV-2002-002,2025-09-24,11035.43,ACH
PAY-2002-003,ACC-2002,INV-2002-003,2025-10-23,13924.51,ACH
PAY-2002-004,ACC-2002,INV-2002-004,2025-12-05,11942.23,ACH
PAY-2002-005,ACC-2002,INV-2002-005,2026-01-01,15435.96,wire
PAY-2002-006,ACC-2002,INV-2002-006,2026-01-31,10717.07,wire
PAY-2002-007,ACC-2002,INV-2002-007,2026-03-13,13102.21,ACH
PAY-2002-008,ACC-2002,INV-2002-008,2026-04-12,12500.48,ACH
PAY-2002-009,ACC-2002,INV-2002-009,2026-05-18,13101.51,ACH
