promise_id,account_id,invoice_id,promised_on,promised_date,promised_amount,kept,source
PTP-1001-01,ACC-1001,INV-1001-019,2026-09-09,2026-09-14,11513.1,True,email
PTP-1002-01,ACC-1002,INV-1002-016,2026-09-09,2026-09-14,4152.19,True,phone
PTP-1003-01,ACC-1003,INV-1003-021,2026-09-09,2026-09-14,3044.07,True,phone
PTP-2001-01,ACC-2001,INV-2001-015,2026-07-22,2026-08-05,8392.49,True,email
PTP-2001-02,ACC-2001,INV-2001-016,2026-08-13,2026-08-27,11903.22,False,phone
PTP-2002-01,ACC-2002,INV-2002-012,2026-07-22,2026-08-05,9770.0,True,phone
PTP-2002-02,ACC-2002,INV-2002-013,2026-08-13,2026-08-27,6008.06,False,email
PTP-2003-01,ACC-2003,INV-2003-011,2026-07-22,2026-08-05,4997.92,True,email
PTP-2003-02,ACC-2003,INV-2003-012,2026-08-13,2026-08-27,3990.72,False,phone
PTP-3001-01,ACC-3001,INV-3001-013,2026-06-08,2026-06-22,11597.69,False,email
PTP-3001-02,ACC-3001,INV-3001-014,2026-07-06,2026-07-20,16814.03,False,phone
PTP-3001-03,ACC-3001,INV-3001-015,2026-08-08,2026-08-22,19679.58,False,phone
PTP-3002-01,ACC-3002,INV-3002-011,2026-06-08,2026-06-22,9100.8,False,phone
PTP-3002-02,ACC-3002,INV-3002-012,2026-07-06,2026-07-20,12708.19,False,email
PTP-3002-03,ACC-3002,INV-3002-013,2026-08-08,2026-08-22,8695.12,False,email
PTP-3003-01,ACC-3003,INV-3003-009,2026-06-08,2026-06-22,5255.43,False,email
PTP-3003-02,ACC-3003,INV-3003-010,2026-07-06,2026-07-20,6318.39,False,email
PTP-3003-03,ACC-3003,INV-3003-011,2026-08-08,2026-08-22,5552.6,False,email
